Name ,Phase,Release Date,Critic Rating,Audience Rating,My Tier,Format,Trailer
The Amazing Spider-Man ,Sony-Verse Ext.,7/3/12,72%,77%,AB,Movie,https://www.youtube.com/watch?v=-tnxzJ0SSOw
Venom,Sony-Verse Ext.,10/5/18,30%,81%,AB,Movie,https://www.youtube.com/watch?v=u9Mv98Gr5pY
Iron Man 3,Phase 2,5/3/13,79%,78%,AB,Movie,https://www.youtube.com/watch?v=f_h95mEd4TI
Spider-Man,Sony-Verse Ext.,5/3/02,90%,67%,AB,Movie,https://www.youtube.com/watch?v=t06RUxPbp_c
Avengers: Age of Ultron,Phase 2,5/1/15,76%,83%,AB,Movie,https://www.youtube.com/watch?v=JAUoeqvedMo
What If...? Season 2,Phase 5,12/22/23,83%,74%,AB,Animated Show,https://www.youtube.com/watch?v=TiEVqZ2Bc_c
X-Men: Days of Future Past,X-Men Universe,5/23/14,90%,91%,AB,Movie,https://www.youtube.com/watch?v=pK2zYHWDZKo
Ant-Man and The Wasp ,Phase 3,7/6/18,87%,81%,AB,Movie,https://www.youtube.com/watch?v=8_rTIAOohas
Thor,Phase 1,5/6/11,77%,76%,B,Movie,https://www.youtube.com/watch?v=JOddp-nlNvQ
Spider-Man 2,Sony-Verse Ext.,6/30/04,93%,82%,B,Movie,https://www.youtube.com/watch?v=1s9Yln0YwCw
Eyes of Wakanda,Phase 6,8/1/25,92%,52%,B,Animated Show,https://www.youtube.com/watch?v=ODHh6oe4MlE
Black Widow,Phase 4,7/9/21,79%,91%,B,Movie,https://www.youtube.com/watch?v=ybji16u608U
Doctor Strange 2,Phase 4,5/6/22,75%,86%,B,Movie,https://www.youtube.com/watch?v=aWzlQ2N6qqg
Marvel Zombies,Phase 6,9/24/2025,66%,68%,B,Animated Show,https://www.youtube.com/watch?v=twHYF506-9Y
Agatha All Along,Phase 5,9/18/24,84%,83%,B,TV Show,https://www.youtube.com/watch?v=R9pXbNz6Vbw
The Marvels,Phase 5,11/10/23,61%,83%,B,Movie,https://www.youtube.com/watch?v=wS_qbDztgVY
Venom: The Last Dance,Sony-Verse Ext.,10/25/24,40%,80%,B,Movie,https://www.youtube.com/watch?v=__2bjWbetsA
What If...? Season 1,Phase 4,8/11/21,94%,94%,B,Animated Show,https://www.youtube.com/watch?v=x9D0uUKJ5KI
The Defenders,Defenders Saga,8/18/17,78%,70%,B,TV Show,https://www.youtube.com/watch?v=jYvHxEEgrPA
X2,X-Men Universe,5/2/03,85%,85%,B,Movie,https://www.youtube.com/watch?v=KNIdceH7XOw
X-Men,X-Men Universe,7/14/2000,82%,83%,B,Movie,https://www.youtube.com/watch?v=VNxwlx6etXI
X-Men: First Class,X-Men Universe,5/25/11,86%,87%,B,Movie,https://www.youtube.com/watch?v=kyQKi5-k0UU
Ant-Man and The Wasp: Quantumania ,Phase 5,2/17/23,47%,83%,B,Movie,https://www.youtube.com/watch?v=ZlNFpri-Y40
Fantastic Four (2005),20th Century Fox,7/8/05,28%,45%,B,Movie,https://www.youtube.com/watch?v=YP-UetX2qX0
X-Men: Apocalypse,X-Men Universe,5/27/16,47%,65%,B,Movie,https://www.youtube.com/watch?v=PfBVIHgQbYk
Echo,Phase 5,1/9/24,65%,78%,C,TV Show,https://www.youtube.com/watch?v=AFUKnherhuw
Captain America Brave New World,Phase 5,2/14/25,49%,79%,C,Movie,https://www.youtube.com/watch?v=1pHDWnXmK7Y
Thor Love and Thunder,Phase 4,6/23/22,68%,81%,C,Movie,https://www.youtube.com/watch?v=Go8nTmfrQd8
Ghost Rider,20th Century Fox,2/16/2007,28%,48%,C,Movie,https://www.youtube.com/watch?v=nu6R7ypaz5g
Eternals,Phase 4,11/5/21,47%,78%,C,Movie,https://www.youtube.com/watch?v=x_me3xsvDgk
Secret Invasion,Phase 5,6/21/23,54%,50%,C,TV Show,https://www.youtube.com/watch?v=Tp_YZNqNBhw
Venom: Let There Be Carnage,Sony-Verse Ext.,10/1/21,59%,84%,C,Movie,https://www.youtube.com/watch?v=-FmWuCgJmxo
