Name ,Release Date,Critic Rating,Audience Rating,My Rating,Trailer
Ek Tha Tiger,8/15/2012,75%,49%,2/5,https://www.youtube.com/watch?v=SmUl0l8qBXw
Tiger Zinda Hai,12/22/2017,64%,67%,2.5/5,https://www.youtube.com/watch?v=ePO5M5DE01I
War,10/2/2019,67%,80%,3.5/5,https://www.youtube.com/watch?v=tQ0mzXRk-oM
Pathaan,1/25/2023,82%,78%,3/5,https://www.youtube.com/watch?v=vqu4z34wENw
Tiger 3,11/12/2023,55%,69%,1.5/5,https://www.youtube.com/watch?v=vEjTUDjjU6A
War 2,8/14/2025,29%,68%,2.5/5,https://www.youtube.com/watch?v=mjBym9uKth4
Alpha,12/25/2025,N/A,N/A,N/A,N/A
