Name ,Release Date,Critic Rating,Audience Rating,My Rating,Trailer
Godzilla,5/16/2014,76%,66%,3/5,https://www.youtube.com/watch?v=vIu85WQTPRc
Kong: Skull Island,3/10/2017,75%,70%,3.5/5,https://www.youtube.com/watch?v=44LdLqgOpjo
Godzilla: King of the Monsters,5/31/2019,42%,83%,3/5,https://www.youtube.com/watch?v=QFxN2oDKk0E
Godzilla vs Kong,3/31/2021,76%,91%,4.5/5,https://www.youtube.com/watch?v=odM92ap8_c0
Monarch: Legacy of Monsters,11/17/2023,86%,77%,N/A,https://www.youtube.com/watch?v=JLHsM4bpfxY
Godzilla x Kong: The New Empire,3/29/2024,54%,89%,N/A,https://www.youtube.com/watch?v=lV1OOlGwExM
