Name ,Release Date,Critic Rating,Audience Rating,My Rating,Trailer
Despicable Me,7/9/2010,80%,83%,4/5,https://www.youtube.com/watch?v=zzCZ1W_CUoI
Despicable Me 2,7/3/2013,75%,85%,4.5/5,https://www.youtube.com/watch?v=yM9sKpQOuEw
Minions,7/10/2015,55%,49%,3/5,https://www.youtube.com/watch?v=eisKxhjBnZ0
Despicable Me 3,6/30/2017,59%,53%,2.5/5,https://www.youtube.com/watch?v=oagwBHoh6Rs
Minions: The Rise of Gru,7/1/2022,69%,89%,4/5,https://www.youtube.com/watch?v=6DxjJzmYsXo
Despicable Me 4,7/3/2024,56%,86%,3.5/5,https://www.youtube.com/watch?v=qQlr9-rF32A
