Name ,Watch Date,Release Date,Critic Rating,Audience Rating,My Rating,Trailer
Extraction,N/A,4/24/2020,67%,72%,4/5,
Phineas and Ferb The Movie: Across the 2nd Dimension,N/A,5/5/2011,100%,81%,4/5,
Zindagi Na Milegi Dobara,N/A,7/15/2011,89%,86%,4/5,
Barbie,N/A,7/21/2023,88%,83%,3.5/5,
Midsommar,N/A,7/3/2019,83%,63%,3.5/5,
10 Things I Hate About You,N/A,3/31/1999,72%,69%,3.5/5,
The Wolf of Wall Street,N/A,12/25/2013,79%,83%,3.5/5,
Us,N/A,3/22/2019,93%,61%,3.5/5,
Avatar,N/A,12/18/2009,81%,82%,3.5/5,
Avatar: The Way of Water,N/A,12/16/2022,76%,92%,3.5/5,
Anyone But You,N/A,12/22/2023,53%,87%,3.5/5,
Moana,N/A,11/23/2016,95%,89%,3.5/5,
Charlie and the Chocolate Factory,N/A,7/10/2005,83%,51%,3.5/5,
Fall Guy,N/A,5/3/2024,82%,84%,3.5/5,
21 Jump Street,N/A,3/16/2012,85%,83%,3.5/5,
Monkey Man,N/A,4/5/2024,89%,81%,3.5/5,
Hercules,N/A,6/13/1997,83%,76%,3.5/5,
Hit Man,N/A,5/24/2024,95%,89%,3.5/5,
The Mask,N/A,7/29/1994,80%,68%,3.5/5,
The Adam Project,N/A,3/9/2022,68%,73%,3.5/5,
Diary of a Wimpy Kid,N/A,3/18/2010,54%,50%,3.5/5,
National Treasure,N/A,11/19/2004,47%,76%,3.5/5,
2012,N/A,11/13/2009,40%,47%,3.5/5,
Pixels,N/A,7/24/2015,18%,46%,3.5/5,
Boss Baby,N/A,3/31/2017,53%,51%,3.5/5,
Central Intelligence,N/A,6/10/2016,71%,62%,3.5/5,
Extraction 2,N/A,6/9/2023,80%,84%,3.5/5,
The Smurfs,N/A,7/29/2011,21%,43%,3.5/5,
Garfield The Movie,N/A,6/11/2004,14%,38%,3.5/5,
Diary of a Wimpy Kid: Dog Days,N/A,8/2/2012,52%,63%,3.5/5,
Teenage Mutant Ninja Turtles,N/A,8/8/2014,20%,50%,3.5/5,
Saltburn,N/A,11/22/2023,72%,79%,3/5,
Baby Driver,N/A,3/11/2017,92%,86%,3/5,
The Hunger Games,N/A,3/23/2012,84%,81%,3/5,
Smile,N/A,9/30/2022,80%,77%,3/5,
Kingsman: The Secret Service,N/A,2/13/2015,75%,84%,3/5,
Scooby Doo,N/A,6/8/2002,32%,41%,3/5,
Bee Movie,N/A,11/2/2007,49%,53%,3/5,
Sausage Party,N/A,8/12/2016,82%,50%,3/5,
Jumanji: The Next Level,N/A,12/13/2019,72%,87%,3/5,
Borat Subsequent Moviefilm,N/A,10/23/2020,85%,62%,3/5,
Grown Ups 2,N/A,7/12/2013,8%,53%,3/5,
The Day After Tomorrow,N/A,5/28/2004,45%,50%,3/5,
The Dictator,N/A,5/16/2012,56%,45%,3/5,
SPY Kids,N/A,3/18/2001,92%,47%,3/5,
Ted 2,N/A,6/26/2015,45%,50%,3/5,
