Name ,Release Date,Critic Rating,Audience Rating,My Rating,Trailer
The Boys Season 1,7/26/2019,85%,91%,4/5,https://www.youtube.com/watch?v=tcrNsIaQkb4
The Boys Season 2,9/4/2020,97%,84%,4.5/5,https://www.youtube.com/watch?v=MN8fFM1ZdWo
The Boys Presents: Diabolical,3/4/2022,97%,72%,N/A,https://www.youtube.com/watch?v=LO8mSkbppE4
The Boys Season 3,6/3/2022,98%,76%,5/5,https://www.youtube.com/watch?v=K-8VYKUZYiw
Gen V Season 1,9/29/2023,97%,76%,4/5,https://www.youtube.com/watch?v=uhjJ5brX-bY
The Boys Season 4,6/13/2024,93%,54%,3/5,https://www.youtube.com/watch?v=EzFXDvC-EwM
Gen V Season 2,9/17/2025,91%,70%,4.5/5,https://www.youtube.com/watch?v=6WxofgjVpXg
The Boys Season 5,2026,N/A,N/A,N/A,
