Name ,Release Date,Critic Rating,Audience Rating,My Rating,Trailer
Rocky,12/3/1976,93%,69%,3.5/5,https://www.youtube.com/watch?v=-Hk-LYcavrw
Rocky II,6/15/1979,70%,82%,4/5,https://www.youtube.com/watch?v=A2P9ATb9Qx8
Rocky III,5/28/1982,65%,74%,3/5,https://www.youtube.com/watch?v=o7vbDPUMWDc
Rocky IV,11/27/1985,39%,79%,3/5,https://www.youtube.com/watch?v=mIE5HYkzvV0
Rocky V,11/16/1990,32%,31%,2/5,https://www.youtube.com/watch?v=C2_k8p3RQx4
Rocky Balboa,12/20/2006,78%,76%,1.5/5,https://www.youtube.com/watch?v=8tab8fK2_3w
Creed,11/25/2015,95%,89%,4.5/5,https://www.youtube.com/watch?v=Uv554B7YHk4
Creed II,11/21/2018,83%,80%,4/5,https://www.youtube.com/watch?v=cPNVNqn4T9I
Creed III,3/3/2023,89%,95%,4.5/5,https://www.youtube.com/watch?v=AHmCH7iB_IM
