Name ,Release Date,Critic Rating,Audience Rating,My Rating,Trailer
Transformers,7/3/2007,57%,85%,4.5/5,https://www.youtube.com/watch?v=CbX_SIz_9fk
Transformers: Revenge of the Fallen,6/24/2009,19%,57%,3.5/5,https://www.youtube.com/watch?v=fnXzKwUgDhg
Transformers: Dark of the Moon,6/29/2011,35%,55%,3/5,https://www.youtube.com/watch?v=EkqdO8dhptc
Transformers: Age of Extinction,6/27/2014,18%,50%,3.5/5,https://www.youtube.com/watch?v=T9bQCAWahLk
Transformers: The Last Knight,6/21/2017,16%,43%,2.5/5,https://www.youtube.com/watch?v=6Vtf0MszgP8
Bumblebee,12/21/2018,91%,75%,4.5/5,https://www.youtube.com/watch?v=lcwmDAYt22k
Transformers: Rise of the Beasts,6/9/2023,51%,91%,N/A,https://www.youtube.com/watch?v=itnqEauWQZM
Transformers One,9/20/2024,89%,97%,N/A,https://www.youtube.com/watch?v=u2NuUWuwPCM
