Name ,Franchise,Watch Date,Release Date,Critic Rating,Audience Rating,My Rating,Trailer
Alvin and the Chipmunks: Chipwrecked,Chipmunks,N/A,12/16/2011,10%,51%,4/5,https://www.youtube.com/watch?v=-dOc_fqmcZo
Alvin and the Chipmunks: The Road Chip,Chipmunks,N/A,12/18/2015,16%,51%,1/5,https://www.youtube.com/watch?v=0BwLNc1KyDQ
Mission Impossible,Mission Impossible,5/21/2025,5/22/1996,65%,71%,4/5,https://www.youtube.com/watch?v=L8Pbjh4EZRk
Mission Impossible 2,Mission Impossible,5/21/2025,5/24/2000,57%,42%,2.5/5,https://www.youtube.com/watch?v=HwXbmwTvoT4
Mission Impossible III,Mission Impossible,5/22/2025,5/5/2006,73%,69%,3.5/5,https://www.youtube.com/watch?v=4oVva0muTE8
Mission Impossible: Ghost Protocol,Mission Impossible,5/23/2025,12/21/2011,94%,76%,4.5/5,https://www.youtube.com/watch?v=m31C9DofmSo
Mission Impossible: Rogue Nation,Mission Impossible,5/23/2025,7/31/2015,94%,87%,4/5,https://www.youtube.com/watch?v=gOW_azQbOjw
Mission Impossible: Fallout,Mission Impossible,5/24/2025,7/27/2018,98%,89%,4/5,https://www.youtube.com/watch?v=wb49-oV0F78
Mission Impossible: Dead Reckoning,Mission Impossible,5/24/2025,7/12/2023,96%,94%,3.5/5,https://www.youtube.com/watch?v=avz06PDqDbM
Mission Impossible: Final Reckoning,Mission Impossible,5/25/2025,5/23/2025,80%,88%,3.5/5,https://www.youtube.com/watch?v=fsQgc9pCyDU
Rocky,Rocky,N/A,12/3/1976,93%,69%,3.5/5,https://www.youtube.com/watch?v=-Hk-LYcavrw
Rocky II,Rocky,N/A,6/15/1979,70%,82%,4/5,https://www.youtube.com/watch?v=A2P9ATb9Qx8
Rocky III,Rocky,N/A,5/28/1982,65%,74%,3/5,https://www.youtube.com/watch?v=o7vbDPUMWDc
Rocky IV,Rocky,N/A,11/27/1985,39%,79%,3/5,https://www.youtube.com/watch?v=mIE5HYkzvV0
Rocky V,Rocky,N/A,11/16/1990,32%,31%,2/5,https://www.youtube.com/watch?v=C2_k8p3RQx4
Rocky Balboa,Rocky,N/A,12/20/2006,78%,76%,1.5/5,https://www.youtube.com/watch?v=8tab8fK2_3w
Creed,Rocky,N/A,11/25/2015,95%,89%,4.5/5,https://www.youtube.com/watch?v=Uv554B7YHk4
Creed II,Rocky,N/A,11/21/2018,83%,80%,4/5,https://www.youtube.com/watch?v=cPNVNqn4T9I
Creed III,Rocky,N/A,3/3/2023,89%,95%,4.5/5,https://www.youtube.com/watch?v=AHmCH7iB_IM
Godzilla,Monsterverse,N/A,5/16/2014,76%,66%,3/5,https://www.youtube.com/watch?v=vIu85WQTPRc
Kong: Skull Island,Monsterverse,N/A,3/10/2017,75%,70%,3.5/5,https://www.youtube.com/watch?v=44LdLqgOpjo
Godzilla: King of the Monsters,Monsterverse,N/A,5/31/2019,42%,83%,3/5,https://www.youtube.com/watch?v=QFxN2oDKk0E
Godzilla vs Kong,Monsterverse,N/A,3/31/2021,76%,91%,4.5/5,https://www.youtube.com/watch?v=odM92ap8_c0
Monarch: Legacy of Monsters,Monsterverse,N/A,11/17/2023,86%,77%,N/A,https://www.youtube.com/watch?v=JLHsM4bpfxY
Godzilla x Kong: The New Empire,Monsterverse,N/A,3/29/2024,54%,89%,N/A,https://www.youtube.com/watch?v=lV1OOlGwExM
Transformers,Transformers,N/A,7/3/2007,57%,85%,4.5/5,https://www.youtube.com/watch?v=CbX_SIz_9fk
Transformers: Revenge of the Fallen,Transformers,N/A,6/24/2009,19%,57%,3.5/5,https://www.youtube.com/watch?v=fnXzKwUgDhg
Transformers: Dark of the Moon,Transformers,N/A,6/29/2011,35%,55%,3/5,https://www.youtube.com/watch?v=EkqdO8dhptc
Transformers: Age of Extinction,Transformers,N/A,6/27/2014,18%,50%,3.5/5,https://www.youtube.com/watch?v=T9bQCAWahLk
Transformers: The Last Knight,Transformers,N/A,6/21/2017,16%,43%,2.5/5,https://www.youtube.com/watch?v=6Vtf0MszgP8
Bumblebee,Transformers,N/A,12/21/2018,91%,75%,4.5/5,https://www.youtube.com/watch?v=lcwmDAYt22k
Transformers: Rise of the Beasts,Transformers,N/A,6/9/2023,51%,91%,N/A,https://www.youtube.com/watch?v=itnqEauWQZM
Transformers One,Transformers,N/A,9/20/2024,89%,97%,N/A,https://www.youtube.com/watch?v=u2NuUWuwPCM
The Fast and the Furious,Fast & Furious,N/A,6/22/2001,55%,74%,3.5/5,https://www.youtube.com/watch?v=2TAOizOnNPo
2 Fast 2 Furious,Fast & Furious,N/A,6/6/2003,37%,50%,2/5,https://www.youtube.com/watch?v=sWofeRh_53g
The Fast and the Furious: Tokyo Drift,Fast & Furious,N/A,6/16/2006,38%,69%,2.5/5,https://www.youtube.com/watch?v=p8HQ2JLlc4E
Fast & Furious,Fast & Furious,N/A,4/3/2009,29%,67%,2.5/5,https://www.youtube.com/watch?v=7GNg6rAg4hg
Fast Five,Fast & Furious,N/A,4/29/2011,78%,83%,4/5,https://www.youtube.com/watch?v=vcn2GOuZCKI
Fast & Furious 6,Fast & Furious,N/A,5/24/2013,71%,84%,4/5,https://www.youtube.com/watch?v=oc_P11PNvRs
Furious 7,Fast & Furious,N/A,4/3/2015,82%,82%,4.5/5,https://www.youtube.com/watch?v=Skpu5HaVkOc
The Fate of the Furious,Fast & Furious,N/A,4/14/2017,67%,72%,3.5/5,https://www.youtube.com/watch?v=uisBaTkQAEs
Hobbs & Shaw,Fast & Furious,N/A,8/2/2019,67%,88%,4/5,https://www.youtube.com/watch?v=9SA7FaKxZVI
F9,Fast & Furious,N/A,6/25/2021,59%,82%,3.5/5,https://www.youtube.com/watch?v=FUK2kdPsBws
Fast X,Fast & Furious,N/A,5/19/2023,56%,84%,3/5,https://www.youtube.com/watch?v=32RAq6JzY-w
Toy Story,Pixar,N/A,11/22/1995,100%,92%,5/5,https://www.youtube.com/watch?v=v-PjgYDrg70
A Bug's Life,Pixar,N/A,11/25/1998,92%,73%,N/A,
Toy Story 2,Pixar,N/A,11/24/1999,100%,87%,5/5,
Monsters Inc.,Pixar,N/A,11/2/2001,96%,90%,4.5/5,
Finding Nemo,Pixar,N/A,5/30/2003,99%,86%,4.5/5,
The Incredibles,Pixar,N/A,11/9/2004,97%,75%,4.5/5,
Cars,Pixar,N/A,6/9/2006,74%,80%,4.5/5,
Ratatouille,Pixar,N/A,6/29/2007,96%,87%,4.5/5,
WALL-E,Pixar,N/A,6/27/2008,95%,90%,5/5,
Up,Pixar,N/A,5/29/2009,98%,90%,4.5/5,
Toy Story 3,Pixar,N/A,6/18/2010,98%,90%,5/5,
Cars 2,Pixar,N/A,6/24/2011,40%,50%,5/5,
Brave,Pixar,N/A,6/22/2012,78%,75%,3.5/5,
Monsters University,Pixar,N/A,6/21/2013,80%,81%,3.5/5,
Inside Out,Pixar,N/A,6/19/2015,98%,89%,4.5/5,
The Good Dinosaur,Pixar,N/A,11/25/2015,76%,64%,N/A,
Finding Dory,Pixar,N/A,6/17/2016,94%,84%,N/A,
Cars 3,Pixar,N/A,6/16/2017,70%,69%,3.5/5,
Coco,Pixar,N/A,11/22/2017,97%,94%,5/5,
Incredibles 2,Pixar,N/A,6/15/2018,93%,84%,N/A,
Toy Story 4,Pixar,N/A,6/21/2019,96%,94%,5/5,
Onward,Pixar,N/A,6/6/2020,88%,95%,4/5,
Soul,Pixar,N/A,12/25/2020,95%,88%,N/A,
Luca,Pixar,N/A,6/18/2021,91%,84%,N/A,
Turning Red,Pixar,N/A,3/11/2022,95%,67%,N/A,
Lightyear,Pixar,N/A,6/17/2022,74%,84%,N/A,
Elemental,Pixar,N/A,6/16/2023,73%,93%,N/A,
Inside Out 2,Pixar,N/A,6/14/2024,91%,95%,N/A,
Elio,Pixar,N/A,6/20/2025,82%,90%,N/A,
Harry Potter and the Sorcerer's Stone,Harry Potter,N/A,11/16/2001,80%,82%,4/5,https://www.youtube.com/watch?v=VyHV0BRtdxo
Harry Potter and the Chamber of Secrets,Harry Potter,N/A,11/14/2002,82%,80%,4/5,https://www.youtube.com/watch?v=jBltxS8HfQ4
Harry Potter and the Prisoner of Azkaban,Harry Potter,N/A,5/31/2004,91%,86%,5/5,https://www.youtube.com/watch?v=VwErvYgoH70
Harry Potter and the Goblet of Fire,Harry Potter,N/A,11/18/2005,88%,74%,4.5/5,https://www.youtube.com/watch?v=3EGojp4Hh6I
Harry Potter and the Order of the Phoenix,Harry Potter,N/A,7/11/2007,78%,81%,3.5/5,https://www.youtube.com/watch?v=LLAaW1EgyY8
Harry Potter and the Half-Blood Prince,Harry Potter,N/A,7/15/2009,83%,78%,3.5/5,https://www.youtube.com/watch?v=tAiy66Xrsz4
Harry Potter and the Deathly Hallows Part 1,Harry Potter,N/A,11/19/2010,76%,85%,3/5,https://www.youtube.com/watch?v=MxqsmsA8y5k
Harry Potter and the Deathly Hallows Part 2,Harry Potter,N/A,7/15/2011,96%,89%,5/5,https://www.youtube.com/watch?v=mObK5XD8udk
Fantastic Beasts and Where to Find Them,Harry Potter,N/A,11/18/2016,74%,79%,N/A,https://www.youtube.com/watch?v=zoDbqo_trzE
Fantastic Beasts: The Crimes of Grindelwald,Harry Potter,N/A,11/16/18,36%,53%,N/A,https://www.youtube.com/watch?v=vvFybpmyB9E
Fantastic Beasts: The Secrets of Dumbledore,Harry Potter,N/A,5/15/2022,46%,83%,N/A,https://www.youtube.com/watch?v=Y9dr2zw-TXQ
The Karate Kid (1984),Karate Kid,N/A,6/22/1984,81%,83%,4.5/5,https://www.youtube.com/watch?v=r_8Rw16uscg
The Karate Kid Part II,Karate Kid,N/A,6/20/1986,49%,52%,4/5,https://www.youtube.com/watch?v=V-T0ajeo7xQ
The Karate Kid Part III,Karate Kid,N/A,6/30/1989,18%,35%,3/5,https://www.youtube.com/watch?v=42xkTso8krA
The Next Karate Kid,Karate Kid,N/A,8/12/1994,20%,24%,N/A,https://www.youtube.com/watch?v=Bqpr_auZ9D8
The Karate Kid (2010),Karate Kid,N/A,6/11/2010,67%,67%,2.5/5,https://www.youtube.com/watch?v=XY8amUImEu0
Cobra Kai Season 1,Karate Kid,N/A,5/2/2018,100%,95%,4.5/5,https://www.youtube.com/watch?v=lkaIYfA1WOs
Cobra Kai Season 2,Karate Kid,N/A,4/24/2019,91%,92%,3.5/5,https://www.youtube.com/watch?v=n6KJRqFa6Rk
Cobra Kai Season 3,Karate Kid,N/A,1/1/2021,90%,91%,3/5,https://www.youtube.com/watch?v=LcDQqGJG8pA
Cobra Kai Season 4,Karate Kid,N/A,12/31/2021,95%,91%,4.5/5,https://www.youtube.com/watch?v=PIKGVR73raA
Cobra Kai Season 5,Karate Kid,N/A,9/9/22,98%,92%,4/5,https://www.youtube.com/watch?v=P4BfK1LKbCY
Cobra Kai Season 6,Karate Kid,N/A,7/18/24,91%,80%,3.5/5,https://www.youtube.com/watch?v=m0aa_JaA-c8
Karate Kid: Legends,Karate Kid,6/1/2025,5/30/2025,58%,91%,3/5,https://www.youtube.com/watch?v=uPzOyzsnmio
That's My Boy,N/A,N/A,6/15/2012,20%,51%,3/5,
Khel Khel Mein,Bollywood,N/A,8/15/2024,78%,N/A,2/5,
Tu Jhooti Main Makkar,Bollywood,N/A,3/8/2023,33%,62%,3.5/5,
Fighter,Bollywood,N/A,1/25/2024,38%,88%,2/5,
Dil Dhadakne Do,Bollywood,N/A,6/5/2015,68%,72%,3.5/5,
Nadaaniyan,Bollywood,N/A,3/7/2025,12%,26%,1/5,
White Men Can't Jump,N/A,N/A,5/11/2023,26%,59%,3.5/5,
Dune Part Two,N/A,N/A,3/1/2024,92%,95%,N/A,
Pride and Prejudice,N/A,N/A,11/11/2005,87%,90%,N/A,
Dhoom,Bollywood,N/A,8/27/2004,N/A,76%,4/5,
Dhoom 3,Bollywood,N/A,12/20/2013,67%,49%,3/5,
Housefull,Housefull,N/A,4/30/2010,N/A,25%,2.5/5,
Housefull 2,Housefull,N/A,4/6/2012,25%,47%,3.5/5,
Housefull 4,Housefull,N/A,10/25/2019,33%,61%,.5/5,
