Name ,Franchise,Watch Date,Release Date,Critic Rating,Audience Rating,My Rating,Trailer
Sinners,N/A,4/25/2025,4/18/2025,97%,96%,4.5/5,https://www.youtube.com/watch?v=bKGxHflevuk
A Minecraft Movie,N/A,4/20/2025,4/4/2025,47%,85%,3/5,https://www.youtube.com/watch?v=8B1EtVPBSMw
Everything Everywhere All at Once,N/A,N/A,4/8/2022,93%,79%,5/5,https://www.youtube.com/watch?v=wxN1T1uxQ2g
Big Hero 6,N/A,N/A,11/7/2014,90%,91%,5/5,https://www.youtube.com/watch?v=z3biFxZIJOQ
Back to the Future,Back To The Future,N/A,7/3/1985,93%,95%,4/5,https://www.youtube.com/watch?v=qvsgGtivCgs
Back to the Future Part II,Back To The Future,N/A,11/22/1989,63%,86%,3.5/5,https://www.youtube.com/watch?v=MdENmefJRpw
Back to the Future Part III,Back To The Future,N/A,5/25/1990,79%,78%,5/5,https://www.youtube.com/watch?v=3C8c3EoEfw4
Parasite,N/A,N/A,10/11/2019,99%,90%,4.5/5,https://www.youtube.com/watch?v=5xH0HfJHsaY
The Super Mario Bros Movie,N/A,N/A,4/5/2023,59%,95%,4.5/5,https://www.youtube.com/watch?v=TnGl01FkMMo
Madagascar,N/A,N/A,5/27/2005,55%,67%,4.5/5,https://www.youtube.com/watch?v=fq5zU9T_Hl4
Main Tera Hero,Bollywood,N/A,4/4/2014,33%,41%,4.5/5,https://www.youtube.com/watch?v=BLWsDKRwIL4
Interstellar,N/A,N/A,10/26/2014,73%,87%,4/5,https://www.youtube.com/watch?v=2LqzF5WauAw
Whiplash,N/A,N/A,1/16/2014,94%,94%,4/5,https://www.youtube.com/watch?v=7d_jQycdQGo
Oppenheimer,N/A,N/A,7/21/2023,93%,91%,4/5,https://www.youtube.com/watch?v=uYPbbksJxIg
The Perks of Being a Wallflower,N/A,N/A,11/21/2012,85%,89%,4/5,https://www.youtube.com/watch?v=n5rh7O4IDc0
The Social Network,N/A,N/A,10/1/2010,96%,87%,4/5,https://www.youtube.com/watch?v=lB95KLmpLR4
Zootopia,N/A,N/A,3/4/2016,98%,92%,4/5,https://www.youtube.com/watch?v=jWM0ct-OLsM
Twisters,N/A,N/A,7/19/2024,75%,90%,4/5,https://www.youtube.com/watch?v=wdok0rZdmx4
BlacKkKlansman,N/A,N/A,8/10/2018,96%,83%,4/5,https://www.youtube.com/watch?v=pFc6I0rgmgY
Free Guy,N/A,N/A,8/13/2021,80%,94%,4/5,https://www.youtube.com/watch?v=X2m-08cOAbc
Lilo and Stitch,N/A,N/A,6/16/2002,86%,78%,4/5,https://www.youtube.com/watch?v=9OAC55UWAQs
Megamind,N/A,N/A,11/5/2010,73%,72%,4/5,https://www.youtube.com/watch?v=ead9HCX9fe4
Night at the Museum,N/A,N/A,12/17/2006,42%,67%,4/5,https://www.youtube.com/watch?v=Ltba1_-tRT4
Grown Ups,N/A,N/A,6/25/2010,10%,62%,4/5,https://www.youtube.com/watch?v=e01NVCveGkg
Jumanji,N/A,N/A,12/15/1995,53%,63%,4/5,https://www.youtube.com/watch?v=eTjDsENDZ6s
Aladdin,N/A,N/A,5/25/2019,57%,94%,4/5,https://www.youtube.com/watch?v=-G5XI61Y9ms
Sonic the Hedgehog,Sonic,N/A,2/14/2020,64%,93%,4/5,https://www.youtube.com/watch?v=szby7ZHLnkA
Rio,N/A,N/A,4/15/2011,72%,71%,4/5,https://www.youtube.com/watch?v=P1GRO31ve5Q
The Lorax,N/A,N/A,3/2/2012,53%,63%,4/5,https://www.youtube.com/watch?v=dNMBVVdrMKo
Road House,N/A,N/A,3/21/2024,59%,52%,4/5,https://www.youtube.com/watch?v=Y0ZsLudtfjI
Extraction,N/A,N/A,4/24/2020,67%,72%,4/5,https://www.youtube.com/watch?v=L6P3nI6VnlY
Phineas and Ferb The Movie: Across the 2nd Dimension,N/A,N/A,5/5/2011,100%,81%,4/5,https://www.youtube.com/watch?v=__3gdWwiJ-A
Zindagi Na Milegi Dobara,Bollywood,N/A,7/15/2011,89%,86%,4/5,https://www.youtube.com/watch?v=FJrpcDgC3zU&t=24s
Barbie,N/A,N/A,7/21/2023,88%,83%,3.5/5,https://www.youtube.com/watch?v=1Vnghdsjmd0
Midsommar,N/A,N/A,7/3/2019,83%,63%,3.5/5,https://www.youtube.com/watch?v=1Vnghdsjmd0
10 Things I Hate About You,N/A,N/A,3/31/1999,72%,69%,3.5/5,https://www.youtube.com/watch?v=uE7qjQlfoRs
The Wolf of Wall Street,N/A,N/A,12/25/2013,79%,83%,3.5/5,https://www.youtube.com/watch?v=iszwuX1AK6A
Us,N/A,N/A,3/22/2019,93%,61%,3.5/5,https://www.youtube.com/watch?v=hNCmb-4oXJA
Avatar,N/A,N/A,12/18/2009,81%,82%,3.5/5,https://www.youtube.com/watch?v=5PSNL1qE6VY&t=5s
Avatar: The Way of Water,N/A,N/A,12/16/2022,76%,92%,3.5/5,https://www.youtube.com/watch?v=1f65r8BUZ5I
Anyone But You,N/A,N/A,12/22/2023,53%,87%,3.5/5,https://www.youtube.com/watch?v=UtjH6Sk7Gxs
Moana,N/A,N/A,11/23/2016,95%,89%,3.5/5,https://www.youtube.com/watch?v=LKFuXETZUsI
Charlie and the Chocolate Factory,N/A,N/A,7/10/2005,83%,51%,3.5/5,https://www.youtube.com/watch?v=OFVGCUIXJls
Fall Guy,N/A,N/A,5/3/2024,82%,84%,3.5/5,https://www.youtube.com/watch?v=j7jPnwVGdZ8
21 Jump Street,N/A,N/A,3/16/2012,85%,83%,3.5/5,https://www.youtube.com/watch?v=Oj55KinxZx4
Monkey Man,N/A,N/A,4/5/2024,89%,81%,3.5/5,https://www.youtube.com/watch?v=g8zxiB5Qhsc
Hercules,N/A,N/A,6/13/1997,83%,76%,3.5/5,https://www.youtube.com/watch?v=vlblxDGoGwo
Hit Man,N/A,N/A,5/24/2024,95%,89%,3.5/5,https://www.youtube.com/watch?v=0g4cJ4NE8HA
The Mask,N/A,N/A,7/29/1994,80%,68%,3.5/5,https://www.youtube.com/watch?v=LZl69yk5lEY
The Adam Project,N/A,N/A,3/9/2022,68%,73%,3.5/5,https://www.youtube.com/watch?v=IE8HIsIrq4o
Diary of a Wimpy Kid,N/A,N/A,3/18/2010,54%,50%,3.5/5,https://www.youtube.com/watch?v=7ZVEIgPeDCE
National Treasure,N/A,N/A,11/19/2004,47%,76%,3.5/5,https://www.youtube.com/watch?v=vqUPxNT8io4
2012,N/A,N/A,11/13/2009,40%,47%,3.5/5,https://www.youtube.com/watch?v=sFXGrTng0gQ
Pixels,N/A,N/A,7/24/2015,18%,46%,3.5/5,https://www.youtube.com/watch?v=XAHprLW48no
Boss Baby,N/A,N/A,3/31/2017,53%,51%,3.5/5,https://www.youtube.com/watch?v=qjMYUQwBG0w
Central Intelligence,N/A,N/A,6/10/2016,71%,62%,3.5/5,https://www.youtube.com/watch?v=MxEw3elSJ8M
Extraction 2,N/A,N/A,6/9/2023,80%,84%,3.5/5,https://www.youtube.com/watch?v=Y274jZs5s7s
The Smurfs,N/A,N/A,7/29/2011,21%,43%,3.5/5,https://www.youtube.com/watch?v=yhBpgqXwrt8
Garfield The Movie,N/A,N/A,6/11/2004,14%,38%,3.5/5,https://www.youtube.com/watch?v=5g1SLGRM6qU
Diary of a Wimpy Kid: Dog Days,N/A,N/A,8/2/2012,52%,63%,3.5/5,https://www.youtube.com/watch?v=1-ixtBsoq2M
Teenage Mutant Ninja Turtles,N/A,N/A,8/8/2014,20%,50%,3.5/5,https://www.youtube.com/watch?v=VZZ0PnDZdZk
Saltburn,N/A,N/A,11/22/2023,72%,79%,3/5,https://www.youtube.com/watch?v=lALMdJf6UUE
Baby Driver,N/A,N/A,3/11/2017,92%,86%,3/5,https://www.youtube.com/watch?v=zTvJJnoWIPk
The Hunger Games,N/A,N/A,3/23/2012,84%,81%,3/5,https://www.youtube.com/watch?v=mfmrPu43DF8
Smile,N/A,N/A,9/30/2022,80%,77%,3/5,https://www.youtube.com/watch?v=BcDK7lkzzsU
Kingsman: The Secret Service,N/A,N/A,2/13/2015,75%,84%,3/5,https://www.youtube.com/watch?v=m4NCribDx4U
Scooby Doo,N/A,N/A,6/8/2002,32%,41%,3/5,https://www.youtube.com/watch?v=o3dbeI0BU1k
