Name ,Release Date,Critic Rating,Audience Rating,My Rating,Trailer
Men in Black,7/2/1997,91%,80%,4.5/5,https://www.youtube.com/watch?v=UxUTTrU6PA4
Men in Black II,7/3/2002,38%,45%,1/5,https://www.youtube.com/watch?v=DMHlNR6x2Sw
Men in Black III,5/25/2012,67%,70%,3/5,https://www.youtube.com/watch?v=IyaFEBI_L24
Men in Black: International,6/14/2019,23%,66%,1.5/5,https://www.youtube.com/watch?v=BV-WEb2oxLk
